,ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,lat,long,counter
16184,6274 002 093014,6274,2,3402 E BALTIMORE ST,9/30/2014,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29269857,-76.56919685,1
16185,6276 002 092415,6276,2,3323 E BALTIMORE ST,9/24/2015,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29227677,-76.56962604,1
16186,6276 003 081215,6276,3,3321 E BALTIMORE ST,8/12/2015,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29227497,-76.56967899,1
16187,8245 013 080715,8245,13,3700 GWYNN OAK AVE,8/7/2015,HOWARD PARK,NORTHWESTERN,5,39.33334185,-76.69517065,1
16188,8248 010 062715,8248,10,4404 CHATHAM ROAD,6/27/2015,HOWARD PARK,NORTHWESTERN,5,39.33140761,-76.6916613,1
16189,8248 011 021315,8248,11,4403 HADDON AVE,2/13/2015,HOWARD PARK,NORTHWESTERN,5,39.33168946,-76.69137201,1
16190,8252 003 040507,8252,3,4604 LIBERTY HEIGHTS AVE,4/5/2007,HOWARD PARK,NORTHWESTERN,5,39.33144795,-76.69482552,1
16191,8253 003 090514,8253,3,4704 LIBERTY HEIGHTS AVE,9/5/2014,HOWARD PARK,NORTHWESTERN,5,39.3317366,-76.69588458,1
16192,8253 007 090514,8253,7,4712 LIBERTY HEIGHTS AVE,9/5/2014,HOWARD PARK,NORTHWESTERN,5,39.33180796,-76.69610912,1
16193,8254 004 080913,8254,4,4808 LIBERTY HEIGHTS AVE,8/9/2013,HOWARD PARK,NORTHWESTERN,5,39.33240424,-76.69775792,1
16194,8254 012 031611,8254,12,3611 HOWARD PARK AVE,3/16/2011,HOWARD PARK,NORTHWESTERN,5,39.33331647,-76.69750193,1
16195,8254 018 010816,8254,18,3608 WOODBINE AVE,1/8/2016,HOWARD PARK,NORTHWESTERN,5,39.33315436,-76.69687275,1
16196,8255 019 081514,8255,19,3602 HOWARD PARK AVE,8/15/2014,HOWARD PARK,NORTHWESTERN,5,39.33309972,-76.69836377,1
16197,8255 020 090315,8255,20,3600 HOWARD PARK AVE,9/3/2015,HOWARD PARK,NORTHWESTERN,5,39.33297296,-76.69843128,1
16198,8255 021 050815,8255,21,3601 PLATEAU AVE,5/8/2015,HOWARD PARK,NORTHWESTERN,5,39.3330025,-76.69914,1
16199,8257 003 062113,8257,3,3604 MILFORD AVE,6/21/2013,HOWARD PARK,NORTHWESTERN,5,39.33367237,-76.70041148,1
16200,8262 013 031511,8262,13,4029 N ROGERS AVE,3/15/2011,HOWARD PARK,NORTHWESTERN,5,39.33922839,-76.69824126,1
16201,8264 034 101013,8264,34,3726 FERNDALE AVE,10/10/2013,HOWARD PARK,NORTHWESTERN,5,39.33635874,-76.6991373,1
16202,6286 028 030116,6286,28,3741 E LOMBARD ST,3/1/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.29128487,-76.56572005,1
16203,6288 014 022916,6288,14,3426 MOUNT PLEASANT AVE,2/29/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29099614,-76.56849683,1
16204,6276 102 022615,6276,102,4 S HIGHLAND AVE,2/26/2015,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29207603,-76.56965987,1
16205,6276 157 092414,6276,157,3305 LEVERTON AVE,9/24/2014,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29169578,-76.57006676,1
16206,6277 008 121115,6277,8,3400 E LOMBARD ST,12/11/2015,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29152307,-76.56887887,1
16207,6281 012 073115,6281,12,124 S HAVEN ST,7/31/2015,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.2908444,-76.56293607,1
16208,6283 006 123115,6283,6,3913 MOUNT PLEASANT AVE,12/31/2015,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.2907978,-76.56417584,1
16209,6283 031 051315,6283,31,3928 E PRATT ST,5/13/2015,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.29058363,-76.56378142,1
16210,6285 023 051914,6285,23,3801 MOUNT PLEASANT AVE,5/19/2014,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.29078469,-76.56519618,1
16211,6286 015 122314,6286,15,3720 MOUNT PLEASANT AVE,12/23/2014,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.2910876,-76.56628469,1
16212,6286 049 082015,6286,49,3621 E LOMBARD ST,8/20/2015,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.29123894,-76.56684323,1
16213,6287 054 011416,6287,54,3721 MOUNT PLEASANT AVE,1/14/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.29085153,-76.5662718,1
16214,6287 057 021215,6287,57,3715 MOUNT PLEASANT AVE,2/12/2015,BALTIMORE HIGHLANDS,SOUTHEASTERN,2,39.29084701,-76.56640237,1
16215,6288 007 072513,6288,7,3412 MOUNT PLEASANT AVE,7/25/2013,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29098131,-76.56883777,1
16216,6288 017 012916,6288,17,3432 MOUNT PLEASANT AVE,1/29/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29100042,-76.56835711,1
16217,6288 018 012916,6288,18,3434 MOUNT PLEASANT AVE,1/29/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29100319,-76.56831127,1
16218,6288 019 012916,6288,19,3436 MOUNT PLEASANT AVE,1/29/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29100489,-76.56826457,1
16219,6288 020 020516,6288,20,3438 MOUNT PLEASANT AVE,2/5/2016,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29100606,-76.56821872,1
16220,6288 056 101512,6288,56,3419 E LOMBARD ST,10/15/2012,BALTIMORE HIGHLANDS,SOUTHEASTERN,1,39.29116393,-76.56870021,1
16221,6290 013 011316,6290,13,125 S CLINTON ST,1/13/2016,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29075015,-76.56997188,1
16222,6739 055 022916,6739,55,6717 GARY AVE,2/29/2016,GRACELAND PARK,SOUTHEASTERN,1,39.28024456,-76.53233673,1
16223,6750 064 022916,6750,64,1713 MALVERN ST,2/29/2016,BROENING MANOR,SOUTHEASTERN,1,39.27320626,-76.53368197,1
16224,6427 008 011614,6427,8,4003 EASTERN AVE,1/16/2014,BREWERS HILL,SOUTHEASTERN,1,39.28655397,-76.56314018,1
16225,6330 024 022916,6330,24,400 OLDHAM ST,2/29/2016,GREEKTOWN,SOUTHEASTERN,1,39.28796643,-76.55610359,1
16226,6291 014 050115,6291,14,127 S BOULDIN ST,5/1/2015,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.2906808,-76.57079529,1
16227,6292 008 100715,6292,8,114 S BOULDIN ST,10/7/2015,PATTERSON PARK NEIGHBORHOOD,SOUTHEASTERN,1,39.29088777,-76.57126146,1
16228,6293 074 040215,6293,74,3205 E PRATT ST,4/2/2015,HIGHLANDTOWN,SOUTHEASTERN,1,39.28994023,-76.5712002,1
16229,6299 013 071911,6299,13,424 S HIGHLAND AVE,7/19/2011,HIGHLANDTOWN,SOUTHEASTERN,1,39.28691352,-76.5693256,1
16230,6300 003 111414,6300,3,205 S HIGHLAND AVE,11/14/2014,HIGHLANDTOWN,SOUTHEASTERN,1,39.29001163,-76.56892467,1
16231,6311 039 072615,6311,39,3808 BANK ST,7/26/2015,HIGHLANDTOWN,SOUTHEASTERN,2,39.28789072,-76.56502669,1
16232,6312 027 120414,6312,27,3611 GOUGH ST,12/4/2014,HIGHLANDTOWN,SOUTHEASTERN,2,39.2884894,-76.56669592,1
16233,6313A021 091615,6313A,21,309 BAYLIS ST,9/16/2015,HIGHLANDTOWN,SOUTHEASTERN,1,39.28811448,-76.56801139,1
16234,6315A009 080715,6315A,9,416 S EATON ST,8/7/2015,HIGHLANDTOWN,SOUTHEASTERN,2,39.28731123,-76.56553712,1
16235,6315A035 010915,6315A,35,403 S DEAN ST,1/9/2015,HIGHLANDTOWN,SOUTHEASTERN,2,39.28707747,-76.56631715,1
16236,6328 048 050914,6328,48,347 S MACON ST,5/9/2014,GREEKTOWN,SOUTHEASTERN,1,39.28811957,-76.55715643,1
16237,6330 018 091012,6330,18,412 OLDHAM ST,9/10/2012,GREEKTOWN,SOUTHEASTERN,1,39.28773376,-76.55608812,1
16238,6343 003 011116,6343,3,6204 EASTERN AVE,1/11/2016,BAYVIEW,SOUTHEASTERN,1,39.28784302,-76.54255987,1
16239,6343 021 121313,6343,21,421 ELRINO ST,12/13/2013,BAYVIEW,SOUTHEASTERN,1,39.28853274,-76.54259935,1
16240,6343 051 121415,6343,51,436 FOLCROFT ST,12/14/2015,BAYVIEW,SOUTHEASTERN,1,39.28821925,-76.54215653,1
16241,6356 016 121715,6356,16,331 CORNWALL ST,12/17/2015,BAYVIEW,SOUTHEASTERN,1,39.28978331,-76.54457055,1
16242,7056 018 030416,7056,18,505 ARSAN AVE,3/4/2016,BROOKLYN,SOUTHERN,10,39.23921548,-76.60216597,1
16243,6771C036 041715,6771C,36,1210 STEELTON AVE,4/17/2015,GRACELAND PARK,SOUTHEASTERN,1,39.27956122,-76.53648705,1
16244,6771C044 041715,6771C,44,1226 STEELTON AVE,4/17/2015,GRACELAND PARK,SOUTHEASTERN,1,39.27916677,-76.53646138,1
16245,6796 034 073014,6796,34,6215 EASTBOURNE AVE,7/30/2014,BROENING MANOR,SOUTHEASTERN,1,39.27288722,-76.53896326,1
16246,6455 030 062813,6455,30,3807 FAIT AVE,6/28/2013,BREWERS HILL,SOUTHEASTERN,1,39.28346265,-76.56475319,1
16247,6473 013 092111,6473,13,1000 S CONKLING ST,9/21/2011,CANTON,SOUTHEASTERN,1,39.28123403,-76.56719719,1
16248,6491 050 112915,6491,50,1303 S CLINTON ST,11/29/2015,CANTON,SOUTHEASTERN,1,39.27823862,-76.56918496,1
16249,6550 022 103114,6550,22,542 S LEHIGH ST,10/31/2014,GREEKTOWN,SOUTHEASTERN,1,39.28604539,-76.55824799,1
16250,6629B037 102506,6629B,37,524 TOLNA ST,10/25/2006,GREEKTOWN,SOUTHEASTERN,1,39.28630162,-76.55149918,1
16251,6694 028 070314,6694,28,5601 EASTERN AVE,7/3/2014,GREEKTOWN,SOUTHEASTERN,1,39.28586418,-76.54816651,1
16252,6732 006 072313,6732,6,1101 BETHLEHEM AVE,7/23/2013,GRACELAND PARK,SOUTHEASTERN,1,39.28176107,-76.532572,1
16253,6732 051 082115,6732,51,6749 GRACELAND AVE,8/21/2015,GRACELAND PARK,SOUTHEASTERN,1,39.28371735,-76.52993205,1
16254,6735 003 122811,6735,3,1403 BETHLEHEM AVE,12/28/2011,GRACELAND PARK,SOUTHEASTERN,1,39.27934413,-76.52987572,1
16255,6750 031 082815,6750,31,1710 DUNDALK AVE,8/28/2015,BROENING MANOR,SOUTHEASTERN,1,39.27414876,-76.53270208,1
16256,6759 010 032113,6759,10,6309 BROWN AVE,3/21/2013,BROENING MANOR,SOUTHEASTERN,1,39.27351158,-76.53746334,1
16257,6759 015 062813,6759,15,6319 BROWN AVE,6/28/2013,BROENING MANOR,SOUTHEASTERN,1,39.2734317,-76.53723462,1
16258,6766 014 091412,6766,14,1209 STEELTON AVE,9/14/2012,GRACELAND PARK,SOUTHEASTERN,1,39.27959196,-76.53594217,1
16259,7068A020 030316,7068A,20,3551 3RD ST,3/3/2016,BROOKLYN,SOUTHERN,10,39.23832775,-76.60642572,1
16260,7068B061 030216,7068B,61,3501 3RD ST,3/2/2016,BROOKLYN,SOUTHERN,10,39.23960874,-76.60578727,1
16261,7056A001 073110,7056A,1,500 ARSAN AVE,7/31/2010,BROOKLYN,SOUTHERN,10,39.23961634,-76.60222848,1
16262,7057 015B 010306,7057,015B,617 BALTIC AVE,1/3/2006,BROOKLYN,SOUTHERN,10,39.23916671,-76.5996772,1
16263,7057A001 112415,7057A,1,600 MAUDE AVE,11/24/2015,BROOKLYN,SOUTHERN,10,39.2386984,-76.60092124,1
16264,7057A019 101703,7057A,19,617 ARSAN AVE,10/17/2003,BROOKLYN,SOUTHERN,10,39.23866068,-76.60040745,1
16265,7065 015 111915,7065,15,609 MAUDE AVE,11/19/2015,BROOKLYN,SOUTHERN,10,39.23786354,-76.6005963,1
16266,7065 023A 051115,7065,023A,616 ANNABEL AVE,5/11/2015,BROOKLYN,SOUTHERN,10,39.2373727,-76.60072674,1
16267,6813 028 032712,6813,28,1500 ELRINO ST,3/27/2012,BROENING MANOR,SOUTHEASTERN,1,39.27622894,-76.54196575,1
16268,6825 052 082115,6825,52,1100 ANGLESEA ST,8/21/2015,MEDFORD,SOUTHEASTERN,1,39.28069745,-76.54598219,1
16269,6826 124 010914,6826,124,1241 BROENING HWY,1/9/2014,MEDFORD,SOUTHEASTERN,1,39.27951077,-76.54338875,1
16270,6826 133 122413,6826,133,1307 BROENING HWY,12/24/2013,MEDFORD,SOUTHEASTERN,1,39.27910595,-76.54336616,1
16271,6855 005 012114,6855,5,1409 BONSAL ST,1/21/2014,MEDFORD,SOUTHEASTERN,1,39.27751582,-76.54440156,1
16272,6994 019 021014,6994,19,6528 PARNELL AVE,2/10/2014,SAINT HELENA,SOUTHEASTERN,1,39.25924191,-76.53120611,1
16273,6994 057 112613,6994,57,6545 SAINT HELENA AVE,11/26/2013,SAINT HELENA,SOUTHEASTERN,1,39.25962803,-76.53136009,1
